URL,Page Name
https://tkrcet.ac.in/events-2022/,21 - 22
https://tkrcet.ac.in/2022-2023-events/,22 - 23
https://tkrcet.ac.in/2024-events/,24
https://tkrcet.ac.in/events-2025/,25
https://tkrcet.ac.in/alumni/,Alumni
https://tkrcet.ac.in/contact-us/,Contact 
https://tkrcet.ac.in/rti/,RTI
https://tkrcet.ac.in/library/introduction/our-team/,Our team 
https://nlist.inflibnet.ac.in/veresources.php,E-Resources @N-LIST
https://tkrcet.ac.in/library/downloads/,Downloads
https://tkrcet.ac.in/library/gallary-2/,Gallery
https://tkrcet.ac.in/library/library-resources/,Library Resources
https://tkrcet.ac.in/library/digital-library/,Digital Library
https://ieeexplore.ieee.org/Xplore/guesthome.jsp?reload=true,IEEE XPLORE 
https://tkrcet.ac.in/library/library-committee/,Library Advisory Committee
https://tkrcet.ac.in/library/library-sections/,Library Sections
https://tkrcet.ac.in/e-resources/,E – Resources
https://tkrcet.ac.in/library/introduction/layout-floor-plan/,Layout & Floor plan
https://tkrcet.ac.in/library/downloads/syllabus-question-papers/,Question Papers
https://tkrcet.ac.in/facilities/transport/,Transport 
https://tkrcet.ac.in/facilities/virtual-labs/,Virtual Labs
https://tkrcet.ac.in/incubation-center/msme/,Incubation / MSME
https://tkrcet.ac.in/wp-content/uploads/2020/02/MSME.pdf,MSME pdf
https://tkrcet.ac.in/magazine/,Magazine
https://tkrcet.ac.in/facilities/mini-auditorium/,Mini Auditorium
https://tkrcet.ac.in/facilities/open-air-auditorium/,Open Air Auditorium
https://tkrcet.ac.in/facilities/sports/,Sports 
https://tkrcet.ac.in/facilities/bank-atm/,Bank / ATM
https://tkrcet.ac.in/press-media-coverage/,Press – Media Coverage
https://tkrcet.ac.in/committies/,committies
https://tkrcet.ac.in/academics/bog/,Board of Governors
https://tkrcet.ac.in/members-of-academic-council/,Academic Council
https://tkrcet.ac.in/finance-committe/,Finance Committee
https://tkrcet.ac.in/examination-committee/,Examination Committee
https://tkrcet.ac.in/ragging-committee/,Anti Ragging Committee
https://tkrcet.ac.in/sexual-harassments/,Sexual Harassments
https://tkrcet.ac.in/student-welfare/,Student Welfare
https://tkrcet.ac.in/women-cell/,Women Welfare Cell
https://tkrcet.ac.in/extra-curricular/,Extra Curricular
http://103.171.190.44/TKRCET/MainFrameset.php,Login 
https://tkrcet.ac.in/placement-news/student-placement-details,Placed Student list
https://twitter.com/hashtag/tkrcet?lang=en,X account 
https://www.instagram.com/tkrcet.k9?igsh=MWNiejN3NDk1YmJnMA==,Instagram account 
